dataset,capacity_percent,cache_size_objects,variant,hit_ratio,total_selected_admissions,admissions_per_1000_requests,hit_yield_per_admission,pollution_ratio,admission_precision,precision_action_rate,precision_multiplier_action_rate,precision_continuous_action_rate,precision_masked_by_integer_rounding_rate,precision_mean_budget_delta,precision_median_budget_delta,mean_precision_multiplier,median_precision_multiplier,corr_precision_eff_to_next_slot_hit_yield,corr_precision_eff_to_next_slot_admission_precision,corr_precision_eff_to_admission_window_pollution_proxy
wiki2018,4.0,80617,cap_only_cap020,0.5864594444444444,137063.0,15.229222222222223,0.4806123646606614,0.6850151110589477,0.06612188609489159,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8466620553694935,0.47263759505226144,-0.7074091183378076
wiki2018,4.0,80617,full_cap020,0.5865971111111111,136783.0,15.19811111111111,0.48236599923554146,0.6834259504278027,0.06605951015847814,0.1111111111111111,0.9888888888888889,0.9888888888888889,0.0,-139.38888888888889,0.0,0.5490945416139306,0.5,0.8447867428946688,0.3988664263315766,-0.607097623099147
wiki2018,4.0,80617,precision_only_cap020,0.5868207777777777,138414.0,15.379333333333333,0.47744325404031235,0.6854185581986563,0.0655311421826766,0.1111111111111111,0.9888888888888889,0.9888888888888889,0.0,-139.2888888888889,0.0,0.5491579251801896,0.5,0.8455474690012544,0.40036998125186474,-0.6105715569659627
wiki2018,5.0,100772,cap_only_cap020,0.6043551111111111,152298.0,16.922,0.4318678056664138,0.7130446254823708,0.05839242719087041,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8377507960235345,0.4744659837806232,-0.6651976571749845
wiki2018,5.0,100772,full_cap020,0.605007,152591.0,16.954555555555554,0.43387891077636154,0.7102799431159802,0.058668229221531656,0.12222222222222222,0.9888888888888889,0.9888888888888889,0.0,-252.96666666666667,0.0,0.5392301810593957,0.5,0.8657781121627143,0.43222223697089535,-0.6191295779352219
wiki2018,5.0,100772,precision_only_cap020,0.6048836666666667,150242.0,16.693555555555555,0.43848761861454205,0.7081630878901156,0.05937581500478136,0.1111111111111111,0.9888888888888889,0.9888888888888889,0.0,-220.13333333333333,0.0,0.5392522595701011,0.5,0.8513240575892965,0.4291459147231167,-0.6123769859677569
wikipedia_september_2007,0.8,12221,cap_only_cap020,0.631311875,39559.0,4.944875,1.9038825515371631,0.4646017699115044,0.14924037035142462,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6193964472068884,0.9656307438127685,-0.9537212694112898
wikipedia_september_2007,0.8,12221,full_cap020,0.633066625,26571.0,3.321375,2.6571929289850655,0.43812861932337704,0.17768972874123742,0.875,0.9875,0.9875,0.0,-95.1625,-138.0,0.6259582090234306,0.5,0.6777990777057258,0.9406009353236654,-0.9204732178710252
wikipedia_september_2007,0.8,12221,precision_only_cap020,0.63300925,31637.0,3.954625,2.2888484383981607,0.4511400651465798,0.16385642204764642,0.875,0.9875,0.9875,0.0,-95.175,-138.0,0.6246813755653927,0.5,0.6785310608019404,0.9424162037872557,-0.9393275156617339
wikipedia_september_2007,1.0,15277,cap_only_cap020,0.639001,49313.0,6.164125,1.5483904060403373,0.5306838466115431,0.12051950183631178,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.646614733966446,0.9537360220397418,-0.941931922148137
wikipedia_september_2007,1.0,15277,full_cap020,0.64135175,33765.0,4.220625,2.1426730210113,0.48832539040254175,0.151635044810119,0.85,0.9875,0.9875,0.0,-119.45,-172.0,0.5999651176371241,0.5,0.701836737201317,0.9274075657809385,-0.9275313720580591
wikipedia_september_2007,1.0,15277,precision_only_cap020,0.641,39550.0,4.94375,1.86878001430469,0.5048022887503831,0.138167977929907,0.85,0.9875,0.9875,0.0,-119.5125,-172.0,0.5999651176371241,0.5,0.7020168107527407,0.9309576297911579,-0.9396011757778331
wikipedia_september_2007,2.0,30554,cap_only_cap020,0.67022075,70260.0,8.7825,1.0882369834295396,0.6424571379340054,0.08128715430343758,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8532781991186219,0.9669719148508493,-0.9104538405211131
wikipedia_september_2007,2.0,30554,full_cap020,0.670713,69075.0,8.634375,1.1035978789605154,0.6415121901339527,0.08212454533502783,0.1625,0.9875,0.9875,0.0,-33.0,0.0,0.5459202901409208,0.5,0.893417386825385,0.9211648195919333,-0.8360677726303781
wikipedia_september_2007,2.0,30554,precision_only_cap020,0.6707115,69076.0,8.6345,1.1037278331239593,0.6414882117502703,0.08209413070787928,0.1625,0.9875,0.9875,0.0,-33.0,0.0,0.5459202901409208,0.5,0.8933847600619063,0.9210462654681254,-0.8358316251986759
wikipedia_september_2007,3.0,45831,cap_only_cap020,0.689932875,84766.0,10.59575,0.9027985650820801,0.6912194426626755,0.06625804765637992,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8781471392679024,0.8383730862497936,-0.7894472020855957
wikipedia_september_2007,3.0,45831,full_cap020,0.689954625,82046.0,10.25575,0.9287432794049051,0.6877224854540545,0.06817568065205117,0.125,0.9875,0.9875,0.0,-76.875,0.0,0.5329429646294226,0.5,0.9151769050671366,0.7024319390292093,-0.6908726774967948
wikipedia_september_2007,3.0,45831,precision_only_cap020,0.689992625,82223.0,10.277875,0.9269747559496834,0.688019793491175,0.06812586504660534,0.125,0.9875,0.9875,0.0,-77.0875,0.0,0.5328903093925552,0.5,0.9145618938023921,0.7025649481656087,-0.68808271214122
