dataset,capacity_percent,metric,variant_a,variant_b,mean_delta,median_delta,bootstrap_ci95_low,bootstrap_ci95_high,n_paired_slots,seed
wiki2018,3.0,slot_hit_ratio,full_cap020,precision_only_budget_matched_random_cap020,2.088888888888696e-05,-9.99999999995449e-06,-0.00015100000000000793,0.00020700000000000408,90,42
wiki2018,3.0,admission_hit_yield,full_cap020,precision_only_budget_matched_random_cap020,-0.0009712202327056317,0.0,-0.024926258893441893,0.019102049772273408,90,42
wiki2018,3.0,pollution_proxy,full_cap020,precision_only_budget_matched_random_cap020,3.525203571728091e-06,0.0,-0.001666490864347185,0.0020855181764233527,88,42
wiki2018,3.0,admission_precision,full_cap020,precision_only_budget_matched_random_cap020,0.0001149462182088831,0.0,-0.0003790370783059477,0.0005726110614024994,89,42
wiki2018,3.0,selected_admissions_per_slot,full_cap020,precision_only_budget_matched_random_cap020,21.744444444444444,0.0,-37.86666666666667,109.46666666666667,90,42
wiki2018,3.0,slot_hit_ratio,full_cap020,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,90,42
wiki2018,3.0,admission_hit_yield,full_cap020,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,90,42
wiki2018,3.0,pollution_proxy,full_cap020,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,88,42
wiki2018,3.0,admission_precision,full_cap020,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,89,42
wiki2018,3.0,selected_admissions_per_slot,full_cap020,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,90,42
wiki2018,3.0,slot_hit_ratio,full_cap020,precision_only_budget_replay_permuted_cap020,0.026606666666666657,0.008079999999999976,0.02092244444444444,0.03295333333333335,90,42
wiki2018,3.0,admission_hit_yield,full_cap020,precision_only_budget_replay_permuted_cap020,-0.7536863844939329,-0.060085233339444905,-1.5138141889845889,-0.21052346421922866,90,42
wiki2018,3.0,pollution_proxy,full_cap020,precision_only_budget_replay_permuted_cap020,0.0746032755962754,0.02540534960115448,0.05073544561711282,0.10104674262488263,88,42
wiki2018,3.0,admission_precision,full_cap020,precision_only_budget_replay_permuted_cap020,-0.029459216441061985,-0.00427571621194868,-0.046723261828773226,-0.015467548308126881,89,42
wiki2018,3.0,selected_admissions_per_slot,full_cap020,precision_only_budget_replay_permuted_cap020,0.0,-7.0,-428.47777777777776,438.6333333333333,90,42
wiki2018,3.0,slot_hit_ratio,precision_only_cap020,cap_only_cap020,0.0004949999999999998,4.999999999999449e-05,7.244444444444411e-05,0.0009937777777777731,90,42
wiki2018,3.0,admission_hit_yield,precision_only_cap020,cap_only_cap020,-0.03924809235964566,-0.0011934550809427347,-0.13460768690467598,0.016198302707609455,90,42
wiki2018,3.0,pollution_proxy,precision_only_cap020,cap_only_cap020,0.002734666120760114,0.0,-0.0004983822919153055,0.006804321806223781,88,42
wiki2018,3.0,admission_precision,precision_only_cap020,cap_only_cap020,-0.0008143480648035255,0.0,-0.0022388877048897604,0.0001879023684472517,89,42
wiki2018,3.0,selected_admissions_per_slot,precision_only_cap020,cap_only_cap020,-9.822222222222223,0.0,-147.9777777777778,160.1,90,42
wiki2018,4.0,slot_hit_ratio,full_cap020,precision_only_cap020,-0.00022366666666665474,-4.999999999977245e-06,-0.0003618888888888813,-0.00010399999999998682,90,42
wiki2018,4.0,admission_hit_yield,full_cap020,precision_only_cap020,0.0010179078023342314,0.0,-0.0007519931926111902,0.0035368128328291874,90,42
wiki2018,4.0,pollution_proxy,full_cap020,precision_only_cap020,-0.0008168268926936995,0.0,-0.0018386213067281881,2.7499929557995246e-05,88,42
wiki2018,4.0,admission_precision,full_cap020,precision_only_cap020,0.00010924945597637894,0.0,-0.0001199507880475023,0.00032043710400907844,89,42
wiki2018,4.0,selected_admissions_per_slot,full_cap020,precision_only_cap020,-18.122222222222224,0.0,-53.25555555555555,0.5666666666666667,90,42
wiki2018,4.0,slot_hit_ratio,full_cap020,precision_only_budget_matched_uniform_cap020,-0.00014244444444444442,-1.0000000000010001e-05,-0.000240555555555563,-6.088888888889427e-05,90,42
wiki2018,4.0,admission_hit_yield,full_cap020,precision_only_budget_matched_uniform_cap020,0.0003621209901878432,0.0,-0.0017938520293606696,0.003032773593823749,90,42
