dataset,capacity_percent,cache_size_objects,variant,hit_ratio,delta_hr_vs_full_cap020,total_selected_admissions,delta_selected_vs_full_cap020,selected_match_ratio_vs_full_cap020,admissions_per_1000_requests,hit_yield_per_admission,pollution_ratio,admission_precision,budget_match_mode,budget_match_multiplier,budget_replay_enabled,budget_replay_permuted,budget_replay_exact_slot_match_rate,budget_replay_clamp_rate,offline_diagnostic_control
wiki2018,1.0,20154,precision_only_cap020,0.4774151111111111,0.00014477777777777145,62387.0,5994.0,1.1062897877396132,6.9318888888888885,1.0756719101851702,0.41921687430135923,0.15515090641048487,off,1.0,,,,,
wiki2018,2.0,40308,full_cap020,0.5267346666666667,0.0,105345.0,0.0,1.0,11.705,0.6332685848794818,0.6009836661659027,0.08917106031174946,off,1.0,,,,,
wiki2018,2.0,40308,precision_only_budget_matched_permuted_quality_cap020,0.5267346666666667,0.0,105345.0,0.0,1.0,11.705,0.6332685848794818,0.6009836661659027,0.08917106031174946,off,1.0,,,,,
wiki2018,2.0,40308,precision_only_budget_matched_random_cap020,0.5267346666666667,0.0,105345.0,0.0,1.0,11.705,0.6332685848794818,0.6009836661659027,0.08917106031174946,random_slot_throttle,1.0,False,False,,,False
wiki2018,2.0,40308,precision_only_budget_matched_uniform_cap020,0.5267346666666667,0.0,105345.0,0.0,1.0,11.705,0.6332685848794818,0.6009836661659027,0.08917106031174946,uniform,1.0,False,False,,,False
wiki2018,2.0,40308,precision_only_budget_replay_cap020,0.5267346666666667,0.0,105345.0,0.0,1.0,11.705,0.6332685848794818,0.6009836661659027,0.08917106031174946,slot_replay,1.0,True,False,1.0,0.0,True
wiki2018,2.0,40308,precision_only_budget_replay_permuted_cap020,0.5100526666666667,-0.016681999999999975,105345.0,0.0,1.0,11.705,0.6477249882731354,0.6059773503987134,0.0885210748509013,slot_replay_permuted,1.0,True,True,1.0,0.0,True
wiki2018,2.0,40308,precision_only_cap020,0.5267346666666667,0.0,105345.0,0.0,1.0,11.705,0.6332685848794818,0.6009836661659027,0.08917106031174946,off,1.0,,,,,
wiki2018,3.0,60463,full_cap020,0.5624848888888889,0.0,123253.0,0.0,1.0,13.694777777777778,0.5423984845144486,0.6490458809984567,0.07538234165380626,off,1.0,,,,,
wiki2018,3.0,60463,precision_only_budget_matched_permuted_quality_cap020,0.5624892222222222,4.333333333272904e-06,122415.0,-838.0,0.9932009768524904,13.601666666666667,0.5447048860898949,0.6485024377009151,0.07581948680846166,off,1.0,,,,,
wiki2018,3.0,60463,precision_only_budget_matched_random_cap020,0.562464,-2.0888888888959123e-05,121296.0,-1957.0,0.9841220903345151,13.477333333333334,0.5489494822092406,0.6468650424853957,0.07646541423260754,random_slot_throttle,1.0161340852130325,False,False,,,False
